epoch,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,0.4737755871676152,0.903921568627451,0.9076731766991076,0.9039215686274512,0.9043502382588119,0.0807886231276724,0.9953703703703703,0.9954954954954954,0.9953703703703703,0.9953694771367934
2,0.13852136470133963,0.967755991285403,0.9679796483098021,0.967755991285403,0.9677406788260011,0.06833670660853386,0.9768518518518519,0.9773320312793997,0.976851851851852,0.9768456716411569
3,0.10502098789337154,0.9679738562091503,0.9680404840886134,0.9679738562091503,0.9679809283639601,0.050974171988114166,0.9907407407407407,0.9912280701754387,0.9907407407407408,0.9907335907335907
4,0.08371583606422857,0.9762527233115469,0.9763354846339141,0.9762527233115469,0.9762510070798228,0.08734862533984361,0.9629629629629629,0.9632132132132133,0.9629629629629629,0.9629611764958087
5,0.06678769946796312,0.9777777777777777,0.977815951649931,0.9777777777777779,0.9777713460769464,0.04119401456167301,0.9907407407407407,0.9907407407407408,0.9907407407407408,0.9907407407407408
6,0.05551748568098789,0.9816993464052287,0.981821680678165,0.9816993464052288,0.9816988669089978,0.02688399635048376,0.9953703703703703,0.9954954954954954,0.9953703703703703,0.9953694771367934
7,0.052516534694009874,0.9808278867102397,0.9808476498196872,0.9808278867102397,0.9808243427805111,0.05854460859188327,0.9814814814814815,0.9817245817245818,0.9814814814814815,0.9814779085471734
8,0.046153136678567575,0.9862745098039216,0.9863181910056728,0.9862745098039216,0.9862755319522621,0.05048475538690885,0.9814814814814815,0.9826749826749827,0.9814814814814815,0.9814564336585324
9,0.0471998923865993,0.9825708061002179,0.9825795368623255,0.982570806100218,0.9825736303839911,0.05130480360929613,0.9814814814814815,0.9817317317317317,0.9814814814814815,0.9814796950143275
10,0.04047380523565418,0.9856209150326798,0.9856439601038994,0.9856209150326798,0.985617190775597,0.035399094223976135,0.9861111111111112,0.9864864864864865,0.9861111111111112,0.9861084314103801
11,0.038395248169245805,0.985838779956427,0.9858662187254935,0.9858387799564271,0.985836937469629,0.03711263706079788,0.9814814814814815,0.9826749826749827,0.9814814814814814,0.9814564336585324
12,0.03401925235921781,0.9864923747276688,0.9864947373087126,0.9864923747276689,0.9864907607293444,0.03569916889278425,0.9861111111111112,0.9871794871794872,0.986111111111111,0.986086956521739
13,0.0373652254541715,0.9860566448801743,0.9860521730443633,0.9860566448801743,0.9860503941343279,0.04106340791892122,0.9907407407407407,0.990990990990991,0.9907407407407408,0.9907389542735867
14,0.041237593646727355,0.9845315904139433,0.984527066355172,0.9845315904139434,0.9845250421135141,0.029381377415524587,0.9861111111111112,0.9871794871794872,0.986111111111111,0.986086956521739
15,0.03286929090298339,0.9901960784313726,0.9902152507705496,0.9901960784313726,0.9901976646122185,0.041712348401132554,0.9814814814814815,0.9819401444788441,0.9814814814814815,0.9814671814671815
16,0.03589649994194118,0.987363834422658,0.9873904690767793,0.987363834422658,0.9873617193303468,0.046450163858632244,0.9861111111111112,0.9867235656709341,0.9861111111111112,0.9861030678703843
